id,qs_rank,country_territory,region,name,description,country,city,latitude,longitude,website,image_url,institution_profile,teaching_languages,cost_city,costs_country
229,401,Szwecja,Europa,Uniwersytet w Umeå,"Uniwersytet w Umeå to szwedzki uniwersytet o szerokim profilu kształcenia i badań. Uczelnia łączy programy humanistyczne, społeczne, przyrodnicze lub techniczne z projektami naukowymi oraz współpracą międzynarodową.",Szwecja,Umeå Municipality,63.820555555,20.303611111,https://www.umu.se,http://commons.wikimedia.org/wiki/Special:FilePath/Ume%C3%A5%20University%20Campus%20pond-2012-06-06.jpg,ogólny,"szwedzki, angielski",,
282,181,Wielka Brytania,Europa,Uniwersytet w Cardiff,"Uniwersytet w Cardiff to brytyjski uniwersytet o szerokim profilu kształcenia i badań. Uczelnia łączy programy humanistyczne, społeczne, przyrodnicze lub techniczne z projektami naukowymi oraz współpracą międzynarodową.",Wielka Brytania,,51.487433333,-3.178230555,https://cardiff.ac.uk/,http://commons.wikimedia.org/wiki/Special:FilePath/Cardiff%20University%20main%20building.jpg,ogólny,angielski,,
310,1001-1200,Ukraina,Europa,Sumski Uniwersytet Państwowy,"Sumski Uniwersytet Państwowy to ukraiński uniwersytet publiczny o szerokiej ofercie kształcenia i zapleczu badawczym z siedzibą w Sumy. Uczelnia rozwija kierunki humanistyczne, społeczne, przyrodnicze i techniczne, a jej znaczenie często wykracza poza region, w którym działa.",Ukraina,Sumy,50.892200000,34.841700000,https://sumdu.edu.ua/,http://commons.wikimedia.org/wiki/Special:FilePath/Sumdu.jpg,ogólny,"angielski, język lokalny",Kharkiv,Ukraine
245,643,Finlandia,Europa,Åbo Akademi University,"Åbo Akademi University to fiński uniwersytet o szerokim profilu kształcenia i badań z siedzibą w Turku. Uczelnia łączy programy humanistyczne, społeczne, przyrodnicze lub techniczne z projektami naukowymi oraz współpracą międzynarodową.",Finlandia,Turku,60.453888888,22.278611111,https://www.abo.fi/,http://commons.wikimedia.org/wiki/Special:FilePath/%C3%85bo%20Akademi%20main%20building.jpg,ogólny,"fiński, szwedzki, angielski",Turku,Finland
402,711-720,Rosja,Europa,ITMO University,"ITMO University to międzynarodowy uniwersytet o szerokim profilu kształcenia i badań. Uczelnia łączy programy humanistyczne, społeczne, przyrodnicze lub techniczne z projektami naukowymi oraz współpracą międzynarodową.",Kyrgyzstan,,39.476153055,72.964055000,,,ogólny,"angielski, język lokalny",,
190,801-850,Polska,Europa,Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie,"Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie to polska uczelnia techniczna szczególnie silna w inżynierii, informatyce, automatyce, energetyce, geologii i materiałoznawstwie. Uczelnia ma bardzo praktyczny profil i rozbudowaną współpracę z przemysłem oraz sektorem nowych technologii.",Polska,Kraków,50.064528000,19.923750000,https://www.agh.edu.pl/,http://commons.wikimedia.org/wiki/Special:FilePath/Gmach%20g%C5%82%C3%B3wny%20AGH.jpg,techniczny,"polski, angielski",Warsaw,Poland
428,851-900,Rosja,Europa,Ałtajski Uniwersytet Państwowy,"Ałtajski Uniwersytet Państwowy to rosyjski uniwersytet publiczny o szerokiej ofercie kształcenia i zapleczu badawczym z siedzibą w Barnaul. Uczelnia rozwija kierunki humanistyczne, społeczne, przyrodnicze i techniczne, a jej znaczenie często wykracza poza region, w którym działa.",Rosja,Barnaul,53.350000000,83.783000000,https://www.asu.ru/,http://commons.wikimedia.org/wiki/Special:FilePath/Architecture%20of%20Barnaul-2021%20-%2026.jpeg,ogólny,"angielski, język lokalny",Novosibirsk,Russia
232,951-1000,Rosja,Europa,Bałtycki Uniwersytet Federalny im. Immanuela Kanta,"Bałtycki Uniwersytet Federalny im. Immanuela Kanta to rosyjski uniwersytet publiczny o szerokiej ofercie kształcenia i zapleczu badawczym z siedzibą w Kaliningrad. Uczelnia rozwija kierunki humanistyczne, społeczne, przyrodnicze i techniczne, a jej znaczenie często wykracza poza region, w którym działa.",Rosja,Kaliningrad,54.724594400,20.528044400,http://www.kantiana.ru/,http://commons.wikimedia.org/wiki/Special:FilePath/101-0160%20IMG.JPG,ogólny,"angielski, język lokalny",Kaliningrad,Russia
277,851-900,Białoruś,Europa,Białoruski Narodowy Uniwersytet Techniczny,"Białoruski Narodowy Uniwersytet Techniczny to białoruska uczelnia techniczna skoncentrowana na inżynierii, naukach ścisłych i technologiach stosowanych. Szczególnie dobrze pasuje do osób zainteresowanych laboratoriami, projektami badawczo-rozwojowymi, informatyką, automatyką, energetyką lub współpracą z przemysłem.",Białoruś,Savyetski District,53.920833330,27.592777780,http://www.bntu.by/,http://commons.wikimedia.org/wiki/Special:FilePath/Main%20building%20of%20BNTU.jpg,techniczny,"angielski, język lokalny",Minsk,Belarus
275,447,Białoruś,Europa,Białoruski Uniwersytet Państwowy,"Białoruski Uniwersytet Państwowy to białoruski uniwersytet publiczny o szerokiej ofercie kształcenia i zapleczu badawczym z siedzibą w Minsk. Uczelnia rozwija kierunki humanistyczne, społeczne, przyrodnicze i techniczne, a jej znaczenie często wykracza poza region, w którym działa.",Białoruś,Minsk,53.893889000,27.546944000,http://www.bsu.by,http://commons.wikimedia.org/wiki/Special:FilePath/Belarus-Minsk-BSU-Rector%27s%20Office-2.jpg,ogólny,"angielski, język lokalny",Minsk,Belarus
312,1401+,Rosja,Europa,Biełgorodzki Uniwersytet Państwowy,"Biełgorodzki Uniwersytet Państwowy to rosyjski uniwersytet publiczny o szerokiej ofercie kształcenia i zapleczu badawczym z siedzibą w Belgorod. Uczelnia rozwija kierunki humanistyczne, społeczne, przyrodnicze i techniczne, a jej znaczenie często wykracza poza region, w którym działa.",Rosja,Belgorod,50.594100000,36.576900000,https://bsuedu.ru/en/,http://commons.wikimedia.org/wiki/Special:FilePath/Belgorod%20State%20University%20in%20september.jpg,ogólny,"angielski, język lokalny",Voronezh,Russia
